route,type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
442,nk,0.433333333,-1.458333333,,,,0.696296296,0.923611111,0.608333333,0.228333333,-0.02,0.568333333,1.113333333,0.478333333,-0.025,0.693333333,0.785,1.031666667,0.681666667,0.695,0.615,0.538333333,0.013333333,-0.151666667,0.033333333
448,nk,,,,,,,-1.405555556,-0.441666667,-0.6125,0.975,,,,,,,,2.783333333,0.1625,-1.586111111,,,,
449,nk,,,,,,,1.283333333,-0.425757576,-0.233333333,0.3,,,,,,,0.583333333,0.216666667,0.171428571,0.8,,,,
450,nk,-1.363333333,-1.216666667,,,-0.179166667,0.259259259,0.652083333,-0.190625,-0.160416667,-0.603125,-0.1125,1.05952381,0.082142857,0.464583333,0.3625,0.401111111,0.616666667,0.142708333,-0.35,-0.069607843,-0.071875,0.876041667,0.544791667,0.825
451,nk,,,,,,-7.116666667,1.583333333,-2.155555556,0.993333333,0.354761905,,,,,-1.945833333,0.265,2.083333333,0.161666667,1.03,0.95,,,,
455,nk,0.048333333,0.27037037,,,,0.27745098,0.4875,0.425,0.48,0.700833333,0.115,0.200833333,0.4925,0.33,0.423333333,0.90877193,0.521666667,0.394166667,0.1775,-0.0575,0.144166667,0.505833333,0.465,0.139166667
456,nk,,,,,,,4.141666667,0.445238095,0.211111111,-0.781481481,-0.654761905,-0.059259259,0.538095238,-0.52037037,-0.603703704,0.128333333,0.63,3.033333333,,,,,,
459,nk,,,,,,-1.075,0.485087719,0.552272727,-0.204487179,-0.177333333,0.130128205,-0.122666667,-0.03974359,0.333974359,-0.126923077,0.351333333,0.791025641,1.11474359,0.804487179,0.8175,1.585,,,
465,nk,,,,,,,0.983333333,-0.961111111,-2.883333333,-1.152380952,0.245833333,-0.508333333,-0.014583333,-0.822916667,-1.120833333,1.33125,0.33125,1.966666667,0.85,0.847222222,0.516666667,,,
501,nk,,,,,,,0.294444444,2.664285714,2.638095238,2.05,-0.366666667,,,2.183333333,0.027777778,0.073809524,0.116666667,0.61,0.435,1.066666667,1.483333333,,,
502,nk,,,,,,,-0.588888889,0.841666667,2.269444444,2.369444444,,,,,,-3.022222222,1.227777778,0.772222222,0.675,0.277777778,,,,
503,nk,,,,,,,-0.766666667,1.9375,2.370833333,0.883333333,,,,,,,-0.127777778,0.46,-1.223333333,-0.661111111,,,,
504,nk,,,,,,,-0.48125,-0.027083333,1.372916667,0.584722222,0.338333333,0.228333333,0.581666667,0.733333333,0.358333333,0.125757576,0.211666667,0.229166667,0.697916667,0.316666667,0.433333333,,,
505,nk,,,,,,1.1,-0.042222222,0.745555556,0.801111111,0.673333333,0.233333333,0.344444444,,,,0.54047619,0.162820513,0.778205128,0.914102564,0.191025641,-0.258333333,,,
553,nk,,,,,,-2.05,-0.363333333,-0.448717949,0.911111111,0.481944444,0.198611111,0.2625,-0.229166667,0.111111111,-0.258333333,0.673611111,0.645833333,2.136111111,1.072222222,0.412222222,0.251666667,0.631481481,1.747222222,
554,nk,,,,,,0.533333333,-1.277777778,-0.403030303,0.865151515,0.554166667,0.405555556,0.225,0.555555556,0.190277778,0.6,0.269444444,0.8375,0.976388889,0.027777778,-0.061111111,-1.06,,,
556,nk,,,,,,,0.811111111,1.445,0.398333333,1.461111111,0.2875,-0.058333333,0.941666667,0.895833333,1.3,0.504166667,0.753333333,0.605,1.651666667,-0.310416667,,,,
558,nk,,,,,,,-0.233333333,1.273809524,2.257575758,0.977083333,2.675,,-0.07,1.283333333,0.32,2.57,2.828571429,1.515151515,1.110606061,1.20952381,0.25,,,
608,nk,-1.716666667,2.520833333,,,,-2.470833333,-1.679166667,-1.741666667,-1.004166667,-0.9375,-1.2,-1.429166667,-1.245833333,-1.429166667,-1.4875,-1.016666667,-0.979166667,-0.358333333,-0.8125,-1.233333333,-0.65,-1.875,-1.870833333,-1.75
701,nk,,,,,,,0.018333333,0.213333333,0.384166667,0.535833333,0.7975,0.4875,0.455,0.364166667,0.544166667,0.501666667,0.1775,0.605833333,0.436507937,0.196031746,-0.131666667,,,
708,nk,,,,,,,0.056944444,0.493589744,0.337179487,0.525641026,0.287179487,0.541025641,0.826923077,1.036904762,0.451041667,1.369230769,0.924358974,0.919230769,-0.202564103,-0.028205128,0.23974359,25.21666667,,
741,nk,-0.322222222,1.142592593,,,,-0.497222222,-0.330555556,-0.2125,-0.202777778,-0.244444444,-0.219444444,-0.190277778,-0.143055556,-0.123611111,-0.240277778,-0.006944444,0.275,0.325,-9.25186E-18,-0.193055556,-0.231944444,-0.404166667,-0.355555556,-0.2875
742,nk,0.238333333,0.716666667,,,,-0.4625,-0.158333333,-0.1375,-0.03125,-0.085416667,-0.089583333,-0.104166667,0.168055556,0.005,0.05,0.123333333,0.113333333,0.151666667,0.186666667,0.108333333,-0.03,-0.005,-0.005,-0.063333333
746,nk,-0.716666667,-0.883333333,,,,-0.588888889,-0.205555556,-0.322222222,-0.311111111,-0.269444444,-0.144444444,,,,,-0.369444444,-0.25,-0.208333333,-0.244444444,-0.65,-0.522222222,-0.108333333,-0.444444444,
747,nk,,,,,,0.675,0.17745098,0.233333333,0.046527778,0.19375,0.247222222,0.182638889,0.298611111,0.1625,0.325694444,0.663194444,0.240972222,0.599305556,0.223611111,0.015942029,-1.020833333,,,
749,nk,-0.05942029,-0.065942029,-0.201515152,,,-0.06884058,0.060144928,0.221014493,0.150724638,0.135507246,0.189130435,0.223913043,0.177536232,0.213043478,0.213768116,0.377536232,0.30942029,0.350724638,0.188405797,0.102898551,0.022463768,-0.001449275,-0.02173913,-0.041304348
751,nk,-0.011111111,,,,,-0.053174603,0.041269841,0.215873016,0.201587302,0.226190476,0.208730159,0.23015873,0.30952381,0.330952381,0.203174603,0.449206349,0.303968254,0.438888889,0.291269841,0.188888889,0.194444444,0.202380952,0.184920635,0.096031746
9701,nk,,,,,,,,,,,,,,3.666666667,0.508333333,,,,,,,,,
9702,nk,,,,,,,,,,,,,,2.933333333,-0.363333333,,,,,,,,,
9703,nk,,,,,,,,,,,,,,,0.905555556,,,,,,,,,
34E,nk,-0.129861111,-0.077272727,,,-0.080555556,-0.060784314,0.166129032,-0.096551724,0.047777778,0.052941176,0.106565657,0.229047619,0.55047619,0.502150538,0.535784314,0.45,0.441397849,0.417816092,0.050462963,0.102525253,0.409615385,0.266666667,0.31875,0.03125
57A,nk,,,,,,,0.7375,0.707407407,0.721666667,0.847916667,,,,,-0.003333333,,1.222222222,1.115,0.711666667,0.864814815,-0.433333333,,,
70A,nk,,,,,,0.244444444,0.863888889,1.039285714,1.341666667,0.607142857,0.329761905,0.205952381,-0.079761905,0.276190476,0.560714286,-0.123809524,0.552380952,1.469047619,1.066666667,-0.287878788,0.82,,,
avg,nk,-0.003711898,0.699848943,0.093678161,1.683333333,0.229116466,0.110341482,0.246522222,0.435165379,0.432462985,0.357389263,0.239719832,0.337108844,0.470540541,0.348333333,0.285817805,0.538601886,0.68445122,0.823604418,0.409319527,0.290752972,0.206908769,0.208238929,0.198282941,0.12022737
1,k,0.072916667,0.902083333,-0.433333333,,0.1,0.3625,0.348958333,0.394791667,0.417708333,0.515625,0.840625,0.782291667,1.016666667,1.102083333,0.71875,0.584375,0.482291667,0.633333333,0.445833333,0.088541667,0.010416667,0.292708333,0.43125,0.235416667
15,k,0.070238095,0.066666667,,0.013888889,0.283333333,0.623333333,0.318181818,0.374242424,0.016666667,0.309722222,0.170833333,0.313888889,-0.044444444,0.25,0.333333333,0.029166667,0.471666667,0.745,0.215,0.247619048,0.039285714,0.344047619,0.075,0.172619048
22,k,0.265625,-0.267948718,,,1.5,0.076041667,0.411458333,0.315625,0.407291667,0.507291667,0.523958333,0.494791667,0.370833333,0.72962963,-0.0325,0.238541667,0.497916667,0.497916667,0.389583333,0.157291667,0.213541667,0.294791667,0.16875,0.390625
23,k,0.112962963,-0.17037037,-0.313888889,,-0.094444444,0.248148148,0.021296296,0.279824561,0.140740741,0.261111111,0.236111111,0.403703704,0.349074074,0.241666667,-0.323684211,0.237962963,0.30462963,0.54537037,0.165740741,0.150925926,0.07962963,0.306481481,0.175925926,-0.062962963
