Route,Average of scheduledrunning,MIN,KEY/NONKEY,#ofSamples,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
749,81.16,1.35,NK,32456,0.0445,0.1634,0.1114,0.1002,0.1398,0.1655,0.1312,0.1575,0.1580,0.2791,0.2287,0.2593,0.1393,0.0761,0.0166,-0.0011,-0.0161,-0.0305
751,93.16,1.55,NK,19465,0.0266,0.1390,0.1298,0.1457,0.1344,0.1482,0.1994,0.2132,0.1309,0.2893,0.1958,0.2827,0.1876,0.1217,0.1252,0.1303,0.1191,0.0618
741,196.53,3.28,NK,16729,-0.1009,-0.0649,-0.0619,-0.0746,-0.0670,-0.0581,-0.0437,-0.0377,-0.0734,-0.0021,0.0840,0.0992,0.0000,-0.0589,-0.0708,-0.1234,-0.1086,-0.0878
742,153.12,2.55,NK,13242,-0.0620,-0.0539,-0.0122,-0.0335,-0.0351,-0.0408,0.0659,0.0020,0.0196,0.0483,0.0444,0.0594,0.0731,0.0424,-0.0118,-0.0020,-0.0020,-0.0248
34E,246.77,4.11,NK,11377,0.0404,-0.0235,0.0116,0.0129,0.0259,0.0557,0.1338,0.1221,0.1303,0.1094,0.1073,0.1016,0.0123,0.0249,0.0996,0.0648,0.0775,0.0076
31,202.22,3.37,NK,11229,0.1205,0.1094,0.1255,0.1762,0.0964,0.0674,0.0142,0.0723,0.1527,0.0408,0.1477,0.1434,0.0872,0.0334,-0.0525,-0.0810,-0.1224,0.0062
9,307.36,5.12,NK,9558,0.0543,0.0813,0.0755,0.1003,0.1754,0.1360,0.1724,0.0908,-0.0488,0.0904,0.1282,0.1737,0.1409,0.0621,-0.0195,0.0299,0.0068,-0.0436
34,176.4,2.94,NK,9358,0.1261,0.1293,0.1540,0.2778,0.0586,0.0794,0.1809,-0.3839,0.1961,0.1573,0.1672,0.1677,0.0576,0.0359,0.0633,0.1441,0.0954,-0.0024
11,242.46,4.04,NK,8610,0.1292,0.1045,0.1523,0.1065,0.1423,0.1636,0.1993,0.1688,0.1691,0.2351,0.2430,0.3014,0.1883,0.1155,0.0055,0.1048,0.1086,0.1000
44,197,3.28,NK,8487,0.1349,0.0899,0.0859,0.0566,0.1117,0.0968,0.0355,0.0950,0.0845,0.1142,0.0751,0.0993,-0.0076,0.0174,0.0867,0.0812,0.0841,0.0388
70,409.53,6.83,NK,8282,0.0056,0.1486,0.2323,0.1135,0.0558,0.0642,0.1781,0.1331,0.0705,0.1556,0.1179,0.2116,0.1076,0.0794,0.0555,0.0290,0.0471,0.1224
